"date","gtemp_diff"
"1880-01-01",-0.6
"1881-01-01",-0.39
"1882-01-01",-0.49
"1883-01-01",-0.58
"1884-01-01",-0.75
"1885-01-01",-0.76
"1886-01-01",-0.6
"1887-01-01",-0.69
"1888-01-01",-0.54
"1889-01-01",-0.26
"1890-01-01",-0.52
"1891-01-01",-0.45
"1892-01-01",-0.52
"1893-01-01",-0.51
"1894-01-01",-0.41
"1895-01-01",-0.4
"1896-01-01",-0.37
"1897-01-01",-0.19
"1898-01-01",-0.33
"1899-01-01",-0.12
"1900-01-01",-0.02
"1901-01-01",-0.03
"1902-01-01",-0.22
"1903-01-01",-0.23
"1904-01-01",-0.36
"1905-01-01",-0.18
"1906-01-01",-0.09
"1907-01-01",-0.53
"1908-01-01",-0.32
"1909-01-01",-0.37
"1910-01-01",-0.3
"1911-01-01",-0.38
"1912-01-01",-0.42
"1913-01-01",-0.25
"1914-01-01",0.01
"1915-01-01",-0.05
"1916-01-01",-0.42
"1917-01-01",-0.62
"1918-01-01",-0.45
"1919-01-01",-0.29
"1920-01-01",-0.29
"1921-01-01",-0.03
"1922-01-01",-0.23
"1923-01-01",-0.2
"1924-01-01",-0.2
"1925-01-01",-0.09
"1926-01-01",0.06
"1927-01-01",-0.15
"1928-01-01",-0.01
"1929-01-01",-0.42
"1930-01-01",-0.02
"1931-01-01",0.09
"1932-01-01",0.06
"1933-01-01",-0.26
"1934-01-01",0.05
"1935-01-01",-0.1
"1936-01-01",-0.05
"1937-01-01",0.04
"1938-01-01",0.26
"1939-01-01",0.18
"1940-01-01",0.13
"1941-01-01",0.14
"1942-01-01",0.08
"1943-01-01",0.11
"1944-01-01",0.2
"1945-01-01",-0.08
"1946-01-01",0.04
"1947-01-01",0.14
"1948-01-01",0.09
"1949-01-01",-0.03
"1950-01-01",-0.28
"1951-01-01",-0.08
"1952-01-01",-0.01
"1953-01-01",0.24
"1954-01-01",-0.1
"1955-01-01",-0.07
"1956-01-01",-0.37
"1957-01-01",0.02
"1958-01-01",0.1
"1959-01-01",0.06
"1960-01-01",-0.09
"1961-01-01",0.14
"1962-01-01",0.08
"1963-01-01",0.17
"1964-01-01",-0.27
"1965-01-01",-0.13
"1966-01-01",-0.05
"1967-01-01",0.02
"1968-01-01",-0.14
"1969-01-01",-0.13
"1970-01-01",0.03
"1971-01-01",-0.03
"1972-01-01",-0.15
"1973-01-01",0.31
"1974-01-01",-0.13
"1975-01-01",0.13
"1976-01-01",-0.25
"1977-01-01",0.23
"1978-01-01",0.05
"1979-01-01",0.11
"1980-01-01",0.33
"1981-01-01",0.53
"1982-01-01",0.06
"1983-01-01",0.42
"1984-01-01",0.09
"1985-01-01",0.05
"1986-01-01",0.25
"1987-01-01",0.38
"1988-01-01",0.61
"1989-01-01",0.33
"1990-01-01",0.66
"1991-01-01",0.57
"1992-01-01",0.25
"1993-01-01",0.23
"1994-01-01",0.46
"1995-01-01",0.74
"1996-01-01",0.39
"1997-01-01",0.58
"1998-01-01",0.91
"1999-01-01",0.68
"2000-01-01",0.6
"2001-01-01",0.79
"2002-01-01",0.98
"2003-01-01",0.9
"2004-01-01",0.75
"2005-01-01",1.08
"2006-01-01",0.93
"2007-01-01",1.17
"2008-01-01",0.86
"2009-01-01",0.93
"2010-01-01",1.1
"2011-01-01",0.95
"2012-01-01",0.96
"2013-01-01",1.03
"2014-01-01",1
"2015-01-01",1.29
"2016-01-01",1.46
"2017-01-01",1.35
"2018-01-01",1.2
"2019-01-01",1.4
"2020-01-01",1.56
"2021-01-01",1.29
