"date","oil","gas"
2000-01-01,26.2,70.636
2000-01-08,26.07,71.04
2000-01-15,26.34,68.49
2000-01-22,24.95,65.137
2000-01-29,26.27,67.918
2000-02-05,29.37,75.117
2000-02-12,28.34,72.97
2000-02-19,28.08,76.106
2000-02-26,28.83,78.158
2000-03-04,29.87,82.272
2000-03-11,30.1,83.902
2000-03-18,31.07,96.146
2000-03-25,32.14,94.47
2000-04-01,31.29,89.112
2000-04-08,27.99,82.782
2000-04-15,26.92,83.912
2000-04-22,25.6,74.008
2000-04-29,24.87,68.426
2000-05-06,26.66,75.17
2000-05-13,25.95,74.32
2000-05-20,26.75,82.572
2000-05-27,28.7,86.412
2000-06-03,29.88,91.476
2000-06-10,29.46,91.034
2000-06-17,29.98,97.552
2000-06-24,29.79,94.63
2000-07-01,32.45,98.324
2000-07-08,33.55,95.482
2000-07-15,32.12,96.576
2000-07-22,30.4,82.88
2000-07-29,30.44,91.124
2000-08-05,30.65,87.964
2000-08-12,28.02,80.346
2000-08-19,28.5,85.38
2000-08-26,30.14,82.282
2000-09-02,31.82,87.35
2000-09-09,32.46,88.63
2000-09-16,33.08,94.028
2000-09-23,34.42,101.29
2000-09-30,34.7,96.904
2000-10-07,35.49,97.232
2000-10-14,31.13,89.716
2000-10-21,31.27,85.928
2000-10-28,33.9,94.558
2000-11-04,33.48,96.996
2000-11-11,33.92,101.716
2000-11-18,32.78,94.998
2000-11-25,33.46,94.35
2000-12-02,35,94.97
2000-12-09,35.91,97.862
2000-12-16,34.1,88.718
2000-12-23,29.69,75.12
2000-12-30,29.05,72.482
2001-01-06,27.38,71.674
2001-01-13,26.52,73.38
2001-01-20,27.8,78.395
2001-01-27,28.81,84.566
2001-02-03,30.63,84.41
2001-02-10,31.35,84.062
2001-02-17,29.59,83.138
2001-02-24,30.92,86.92
2001-03-03,29.67,82.914
2001-03-10,28.65,78.695
2001-03-17,27.91,78.066
2001-03-24,28.45,78.876
2001-03-31,27.02,76.22
2001-04-07,26.42,78.43
2001-04-14,26.86,80.806
2001-04-21,26.76,88.142
2001-04-28,28.27,95.777
2001-05-05,27.89,97.492
2001-05-12,26.99,96.742
2001-05-19,28.36,99.3
2001-05-26,28.12,96.92
2001-06-02,29.08,87.25
2001-06-09,28.92,93.904
2001-06-16,28.44,83.255
2001-06-23,27.98,76.36
2001-06-30,28.9,73.676
2001-07-07,27.09,70.078
2001-07-14,26.37,65.698
2001-07-21,26.87,66.705
2001-07-28,27.07,68.626
2001-08-04,25.26,66.71
2001-08-11,26.5,69.9
2001-08-18,27.1,72.104
2001-08-25,27.87,76.186
2001-09-01,27.52,77.936
2001-09-08,27.25,77.244
2001-09-15,26.84,81.874
2001-09-22,27.38,80.155
2001-09-29,28.22,83.875
2001-10-06,27.09,77.67
2001-10-13,22.35,63.332
2001-10-20,22.6,64.508
2001-10-27,22.66,61.566
2001-11-03,21.92,57.734
2001-11-10,21.78,58.07
2001-11-17,21.17,54.136
2001-11-24,20.7,54.162
2001-12-01,19.61,51.258
2001-12-08,18.28,49.5
2001-12-15,19.13,50.854
2001-12-22,19.47,50.796
2001-12-29,18.45,48.924
2002-01-05,19.2,52.26
2002-01-12,20.94,56.46
2002-01-19,20.8,57.155
2002-01-26,20.54,56.468
2002-02-02,18.61,51.486
2002-02-09,19.21,53.487
2002-02-16,19.71,54.114
2002-02-23,19.97,54.464
2002-03-02,21.18,57.006
2002-03-09,20.7,54.5
2002-03-16,21.43,55.722
2002-03-23,23.31,64.21
2002-03-30,24.4,71.766
2002-04-06,25.25,73.302
2002-04-13,25.86,72.447
2002-04-20,26.99,76.64
2002-04-27,25.24,73.542
2002-05-04,25.54,74.19
2002-05-11,26.46,73.064
2002-05-18,26.88,73.028
2002-05-25,27.27,69.182
2002-06-01,28.43,71.236
2002-06-08,27.18,71.206
2002-06-15,25.22,68.317
2002-06-22,25.01,70.632
2002-06-29,24.94,70.484
2002-07-06,25.61,72.2
2002-07-13,26.52,73.412
2002-07-20,26.81,74.173
2002-07-27,26.7,73.852
2002-08-03,27.62,78.832
2002-08-10,26.64,76.696
2002-08-17,26.87,78.286
2002-08-24,26.77,75.666
2002-08-31,28.52,76.692
2002-09-07,30.09,77.264
2002-09-14,28.84,77.954
2002-09-21,28.65,74.097
2002-09-28,29.59,77.16
2002-10-05,29.39,78.596
2002-10-12,30.63,80.056
2002-10-19,30.25,81.528
2002-10-26,29.37,82.216
2002-11-02,29.65,85.334
2002-11-09,27.88,82.11
2002-11-16,27.03,81.87
2002-11-23,25.97,83.066
2002-11-30,25.68,74.756
2002-12-07,26.98,73.326
2002-12-14,26.83,71.16
2002-12-21,27.14,72.57
2002-12-28,27.82,76.782
2003-01-04,30.35,83.532
2003-01-11,32.38,90.155
2003-01-18,31.96,86.945
